id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,reviews total,pre 2014 reviews,post 2014 reviews
18853816,ESCAPE FOR THE HOLIDAY ! SAVE HUNDREDS!! BOOK NOW!!,126263802,The Lux Haus,,78704,30.25935,-97.74668,Entire home/apt,106,1,13,2019-06-15,1.49,15,0,5,0,13
18857336,"★ Trendy East Austin Location, Downtown View ★",117386831,Edwin,,78702,30.262620000000002,-97.73318,Entire home/apt,160,1,90,2019-06-29,3.59,3,336,261,0,90
18868680,Native Hostel Austin Loft Room,100663558,Native Hostel,,78702,30.263990000000003,-97.7348,Shared room,325,1,7,2019-05-26,0.42,4,165,9,0,7
18868758,Spacious Private guest room w/sunroom - woman only,131463179,Emily,,78749,30.20725,-97.87705,Private room,30,1,41,2017-10-29,1.69,1,188,102,0,41
18873525,Private Room in Eclectic Central Austin Bungalow,10546615,Monica,,78756,30.327920000000002,-97.73199,Private room,54,1,3,2018-03-18,0.18,1,0,16,0,3
18875355,"Adorable, Mid Century Bungalow Apt.",41162861,Max & Josie,,78704,30.23031,-97.7824,Entire home/apt,52,1,220,2019-06-24,8.62,2,45,9,0,220
18876463,"Entire Apt in West Campus, right next to Downtown",106749905,Nadeen,,78705,30.28615,-97.74505,Entire home/apt,80,1,10,2017-07-01,0.39,1,0,15,0,10
18876788,"Modern, central Austin, quiet neighborhood",1455152,Brett,,78731,30.323929999999997,-97.75246,Entire home/apt,219,6,1,2017-08-01,0.04,1,46,3,0,1
18894761,Cozy 1 bdrm. Come visit the heart of Austin!,131669320,Rommel Angelo,,78705,30.29529,-97.74529,Private room,33,1,1,2017-05-24,0.04,1,0,9,0,1
18895377,"~Peaceful, Hip Historic Urban Farm~*Downtown!~",2739535,Carol,,78702,30.26268,-97.7011,Entire home/apt,150,1,12,2019-06-24,0.56,1,345,2,0,12
